District,NAME OF THE MEMBER,CONSTITUENCY NUMBER,NAME OF THE CONSTITUENCY,PARTY AFFILIATIONS
KUMARAM BHEEM ASIFABAD,DR. PALVAI HARISH BABU,1,SIRPUR,BJP
KUMARAM BHEEM ASIFABAD,SMT. KOVA LAXMI,5,ASIFABAD (ST),BRS
MANCHERIAL,SRI  VIVEK VENKAT SWAMY,2,CHENNUR (SC),INC
MANCHERIAL,SRI  GADDAM VINOD,3,BELLAMPALLI (SC),INC
MANCHERIAL,SRI  KOKKIRALA PREMSAGAR RAO,4,MANCHERIAL,INC
ADILABAD,SRI  PAYAL SHANKER,7,ADILABAD,BJP
ADILABAD,SRI  ANIL JADHAV,8,BOATH (ST),BRS
NIRMAL,SRI  VEDMA. BHOJJU,6,KHANAPUR (ST),INC
NIRMAL,SRI  ALLETI MAHESHWAR REDDY,9,NIRMAL,BJP
NIRMAL,SRI  RAM RAO PAWAR,10,MUDHOLE,BJP
NIZAMABAD,SRI  PAIDI RAKESH REDDY,11,ARMOOR,BJP
NIZAMABAD,SRI  P. SUDARSHAN REDDY,12,BODHAN,INC
NIZAMABAD,SRI  SRINIVAS REDDY PARIGE (POCHARAM),14,BANSWADA,BRS
NIZAMABAD,SRI  DHANPAL SURYANARAYANA,17,NIZAMABAD(URBAN),BJP
NIZAMABAD,SRI  BHOOPATHI REDDY REKULAPALLY,18,NIZAMABAD(RURAL),INC
NIZAMABAD,SRI  PRASHANTH REDDY VEMULA,19,BALKONDA,BRS
KAMAREDDY,SRI  LAXMI KANTHA RAO THOTA,13,JUKKAL (SC),INC
KAMAREDDY,SRI  MADAN MOHAN RAO. K,15,YELLAREDDY,INC
KAMAREDDY,SRI  KATIPALLY VENKATA RAMANA REDDY,16,KAMAREDDY,BJP
JAGTIAL,SRI  KALVAKUNTLA SANJAY,20,KORATLA,BRS
JAGTIAL,SRI  DR. SANJAY,21,JAGATIAL,BRS
JAGTIAL,SRI  ADLURI LAXMAN KUMAR,22,DHARMAPURI (SC),INC
